"pid","assessed_value"
1,543491.036051037
2,848342.141142752
3,596341.503749262
4,658125.789897567
5,625077.220852119
6,543942.797199235
7,633093.199833699
8,551203.351237392
9,612998.467729823
10,995506.581424611
11,567956.595761603
12,645526.69907901
13,533551.461721557
14,620774.759510161
15,563052.553864841
16,533868.027706553
17,519268.091207193
18,537308.243673722
19,491084.359742469
20,587539.783050457
21,540383.925212507
22,499345.824759967
23,521709.750812287
24,459861.034520295
25,821945.834419146
26,524227.484046851
27,564830.579047924
28,807668.074985516
29,498438.214366727
30,554910.477755623
31,535705.149508316
32,516876.317364828
33,1155099.76894999
34,582322.474910941
35,773234.117399997
36,1208288.52746933
37,606557.462636692
38,888613.717661945
39,1006619.99452628
40,655871.250846187
41,510130.940291573
42,728452.458608515
43,637439.535459237
44,604085.557973968
45,563457.179797443
46,956675.905411699
47,710350.857158822
48,593277.15680982
49,1599585.22678005
50,927737.486495259
51,509378.225880934
52,469056.28407711
53,450183.684862858
54,578768.400641675
55,534372.598102968
56,638779.397142131
57,571944.984939054
58,593694.86140749
59,521525.214165125
60,550111.549249394
61,654014.001957118
62,597851.709911147
63,568852.232951455
64,579436.118396871
65,426754.571705002
66,615614.930916769
67,614198.464206899
68,788335.03344928
69,428845.013045632
70,575216.167383082
71,600070.918427308
72,543102.136964415
73,477823.684533997
74,598330.05665544
75,1102675.95756492
76,580034.250210474
77,589266.58040483
78,451153.133158135
79,593097.652681985
80,702367.89731441
81,498829.229540903
82,557714.26919967
83,636928.771223528
84,533551.461721557
85,583227.484138184
86,539427.083508883
87,574918.986320391
88,577783.211589432
89,603555.248735695
90,440446.281167061
91,500505.448796145
92,963680.779715267
93,537826.166627411
94,561859.342480055
95,540507.400098033
96,535021.353815511
97,555312.36740167
98,600260.889335996
99,917643.026190526
100,498493.949785253
101,583882.199096051
102,573543.537510353
103,539258.862791511
104,833706.80512803
105,650919.450797806
106,1163506.14332581
107,456257.415560242
108,537108.790697798
109,741295.704279374
110,600833.77907838
111,571535.56752282
112,980802.769722328
113,485929.627935431
114,942650.536037577
115,918721.972630184
116,890967.835705382
117,511192.287179277
118,515521.626733957
119,500240.083480961
120,537429.340511986
121,509959.393025058
122,544703.216800759
123,518292.934180982
124,500720.582133677
125,558776.588986532
126,679523.52776871
127,680970.056322049
128,591107.018163476
129,508742.170127371
130,562035.015165617
131,548544.970397113
132,537817.468066524
133,758123.887591672
134,566828.187790183
135,484103.352276507
136,508291.282273521
137,498829.229540903
138,542341.773755566
139,551651.218932807
140,515169.073198998
141,498786.327377475
142,463696.78575996
143,564639.555024655
144,582128.004628476
145,495959.368696383
146,1025854.68956416
147,568773.338134666
148,564832.948879936
149,621049.919036249
150,536561.180311173
151,570010.043094238
152,579932.757830089
153,521928.059443001
154,594252.385833208
155,655570.682644307
156,511219.576093541
157,694934.418651302
158,522619.416775019
159,603382.359444881
160,539263.445314156
161,475281.231303799
162,516767.475173272
163,577103.382228819
164,511153.229081947
165,594995.851144577
166,589148.818561472
167,507381.467770304
168,573543.537510353
169,561669.491430715
170,599330.230271433
171,491583.564263528
172,598849.564028724
173,491017.306694821
174,616789.9272369
175,1314441.87658582
176,589235.262198664
177,519975.279868094
178,537308.243673722
179,452490.789890126
180,412420.006054121
181,615476.730063631
182,502426.688459571
183,675328.816724496
184,462516.695398755
185,543581.134819296
186,506996.238837802
187,668101.997803496
188,598294.357588658
189,634398.73763678
190,718094.888738822
191,501537.353949912
192,753755.287916177
193,588757.408263088
194,621340.711676219
195,637728.329688106
196,504396.371202772
197,503510.320916236
198,459522.028597828
199,611716.831816731
200,556688.285896516
201,576112.814667377
202,571794.352965648
203,591624.971443306
204,596647.502911023
205,575477.358560433
206,582727.464646155
207,532003.832579782
208,600489.456711808
209,582338.867289704
210,510428.949278011
211,578905.071800282
212,591087.388821921
213,618579.424966042
214,594199.141724213
215,505567.091154522
216,917719.841102934
217,518386.671941641
218,554935.458102536
219,503607.526422931
220,524607.966428929
221,633256.118296322
222,502196.210084882
223,597713.528152226
224,813201.446813165
225,571456.206948598
226,486235.357634785
227,699483.527510302
228,651774.541227294
229,719911.006083758
230,560509.516128099
231,622673.71377683
232,545403.543403679
233,519975.279868094
234,599541.17557857
235,586450.338368284
236,515170.682334085
237,729902.804403271
238,579045.967330677
239,891320.711449001
240,503951.668440276
241,687574.600801225
242,667362.189336436
243,705221.353225477
244,571582.13827951
245,679759.189465291
246,588117.51531167
247,499330.594089609
248,407098.007576871
249,593761.517061716
250,573434.535780323
251,562867.400814389
252,677678.270963817
253,593563.065312708
254,630953.567987993
255,647161.44286493
256,408772.996908261
257,765659.304609331
258,508463.388322999
259,579506.746006209
260,510464.194629047
261,591053.270647418
262,1054172.31190888
263,400418.777019185
264,550799.449925063
265,569598.939578439
266,765647.990936857
267,510130.940291573
268,576480.905159833
269,597851.709911147
270,550353.601807424
271,530267.683629805
272,623830.599394804
273,553431.069031867
274,607317.493498603
275,573467.45186459
276,455823.835175827
277,678471.410683642
278,440356.034434337
279,612832.730705599
280,586324.239033617
281,456038.667600824
282,477427.706004909
283,587760.384420554
284,587736.260502386
285,516909.441654269
286,938925.603301803
287,660037.173628449
288,566238.107595954
289,564216.237084799
290,1198827.76517834
291,606847.197856514
292,853952.687909089
293,563857.215874511
294,564157.561503187
295,700453.037189021
296,619465.987692925
297,510681.391827807
298,1411389.28598628
299,756662.415119703
300,567412.904965935
301,725182.876407284
302,535841.051371535
303,476348.965589333
304,578219.972164502
305,576974.62417535
306,550280.47108316
307,367149.001738393
308,545514.559338157
309,1583143.90945364
310,1107115.68242467
311,559033.534725261
312,567751.257311076
313,594393.666695125
314,467937.539320567
315,572335.202536453
316,923055.419662326
317,628668.443483689
318,605466.576298151
319,766042.135672991
320,503693.01687262
321,521525.214165125
322,571162.592130202
323,532094.006891136
324,586450.338368284
325,463879.861267641
326,539643.964517842
327,809940.502588364
328,480156.222938754
329,560034.229322348
330,550262.032387877
331,503809.162054902
332,496189.396865624
333,544379.013574105
334,709700.567646873
335,822483.238585114
336,486568.290689687
337,423480.545284075
338,527090.210313983
339,603382.359444881
340,566702.22893362
341,488811.438774475
342,540277.267996268
343,519842.225590192
344,1060415.97846394
345,561433.007284886
346,1197877.34325024
347,581825.221571877
348,706300.680642145
349,525961.938481368
350,777906.219936737
351,831950.485755544
352,896741.143425098
353,481075.480730959
354,557459.392067912
355,882312.236718713
356,509046.057539955
357,530703.594490801
358,558902.322449985
359,629908.17147783
360,582040.222858397
361,581383.93841932
362,635613.18973617
363,1045623.12545659
364,554910.477755623
365,1397497.20478516
366,569275.85476929
367,598890.904140509
368,667681.193223621
369,681814.735515176
370,491599.573127117
371,588507.864197445
372,507713.75268205
373,508142.057111316
374,535246.991819887
375,591137.506358984
376,602079.565190271
377,504827.436964572
378,522933.730051574
379,768348.58916721
380,499678.179668992
381,1375099.96336699
382,573355.562028217
383,514476.201709574
384,513578.466152114
385,612832.730705599
386,520159.238204108
387,483061.981765381
388,1006290.1290619
389,549117.913499527
390,539263.445314156
391,540838.479145827
392,821409.092548337
393,588656.131300518
394,685549.658427587
395,472502.026359927
396,436529.518083053
397,608123.728356406
398,737933.764157037
399,515480.056718269
400,510993.550703607
401,491920.343467074
402,527638.847742501
403,595700.738762152
404,528444.479096622
405,521709.750812287
406,550450.261241099
407,561731.807379645
408,520785.787209775
409,597795.184754224
410,498515.831455676
411,510464.523759153
412,630408.83958197
413,502146.085824582
414,574087.039636068
415,527212.614640515
416,681216.35969861
417,588709.38986746
418,630262.212211574
419,681453.976116227
420,523688.710062674
421,800975.559886434
422,1015807.44471811
423,574306.437372276
424,653018.539470283
425,467111.058722214
426,579652.821931672
427,523276.150822021
428,478103.533477454
429,755034.437538968
430,565048.01015731
431,593277.15680982
432,514036.015021694
433,638451.544433235
434,596860.719635885
435,604743.201855305
436,461673.338029632
437,449107.497869825
438,509536.449301048
439,637297.504666144
440,406974.331968226
441,539424.71919871
442,639606.819215701
443,549553.636512362
444,563224.788949444
445,764828.691234114
446,894176.961326952
447,542941.56832153
448,507584.997346811
449,654967.107362723
450,501574.511464883
451,996582.605962204
452,533430.878975143
453,651373.907074471
454,517488.580227239
455,917341.348517416
456,500380.541897554
457,603161.264584551
458,481331.99052349
